step: 20, lr: 0.000998, cost: 1.2741, recon: 1.2741, train_time_taken: 56.3520
step: 40, lr: 0.000996, cost: 1.2348, recon: 1.2348, train_time_taken: 49.8790
step: 60, lr: 0.000994, cost: 1.0241, recon: 1.0241, train_time_taken: 53.5985
step: 80, lr: 0.000992, cost: 0.9979, recon: 0.9979, train_time_taken: 54.7184
step: 100, lr: 0.000990, cost: 0.9632, recon: 0.9632, train_time_taken: 55.3984
step: 120, lr: 0.000988, cost: 0.8598, recon: 0.8598, train_time_taken: 54.7648
step: 140, lr: 0.000986, cost: 0.8356, recon: 0.8356, train_time_taken: 54.6407
step: 160, lr: 0.000984, cost: 0.7509, recon: 0.7509, train_time_taken: 54.4624
step: 180, lr: 0.000982, cost: 0.7317, recon: 0.7317, train_time_taken: 55.0053
step: 200, lr: 0.000980, cost: 0.7568, recon: 0.7568, train_time_taken: 54.8083
step: 220, lr: 0.000978, cost: 0.7974, recon: 0.7974, train_time_taken: 54.4564
step: 240, lr: 0.000977, cost: 0.7801, recon: 0.7801, train_time_taken: 54.5537
step: 260, lr: 0.000975, cost: 0.7807, recon: 0.7807, train_time_taken: 54.0699
step: 280, lr: 0.000973, cost: 0.8112, recon: 0.8112, train_time_taken: 54.3914
step: 300, lr: 0.000971, cost: 0.7599, recon: 0.7599, train_time_taken: 57.5302
step: 320, lr: 0.000969, cost: 0.7168, recon: 0.7168, train_time_taken: 58.7861
step: 340, lr: 0.000967, cost: 0.6763, recon: 0.6763, train_time_taken: 56.9251
step: 360, lr: 0.000965, cost: 0.6683, recon: 0.6683, train_time_taken: 60.1384
step: 380, lr: 0.000963, cost: 0.6610, recon: 0.6610, train_time_taken: 52.7415
step: 400, lr: 0.000961, cost: 0.6121, recon: 0.6121, train_time_taken: 48.6882
step: 420, lr: 0.000959, cost: 0.6470, recon: 0.6470, train_time_taken: 48.7330
step: 440, lr: 0.000957, cost: 0.5056, recon: 0.5056, train_time_taken: 48.6946
step: 460, lr: 0.000955, cost: 0.5420, recon: 0.5420, train_time_taken: 50.2477
step: 480, lr: 0.000954, cost: 0.5123, recon: 0.5123, train_time_taken: 55.3817
step: 500, lr: 0.000952, cost: 0.4902, recon: 0.4902, train_time_taken: 55.4490
step: 520, lr: 0.000950, cost: 0.4851, recon: 0.4851, train_time_taken: 54.4842
step: 540, lr: 0.000948, cost: 0.5153, recon: 0.5153, train_time_taken: 54.8501
step: 560, lr: 0.000946, cost: 0.4326, recon: 0.4326, train_time_taken: 54.8370
step: 580, lr: 0.000944, cost: 0.4655, recon: 0.4655, train_time_taken: 54.8998
step: 600, lr: 0.000942, cost: 0.4759, recon: 0.4759, train_time_taken: 55.1385
step: 620, lr: 0.000940, cost: 0.4880, recon: 0.4880, train_time_taken: 55.0332
step: 640, lr: 0.000939, cost: 0.4166, recon: 0.4166, train_time_taken: 56.0344
step: 660, lr: 0.000937, cost: 0.4888, recon: 0.4888, train_time_taken: 54.3652
step: 680, lr: 0.000935, cost: 0.3678, recon: 0.3678, train_time_taken: 53.7961
step: 700, lr: 0.000933, cost: 0.3955, recon: 0.3955, train_time_taken: 52.4400
step: 720, lr: 0.000931, cost: 0.4321, recon: 0.4321, train_time_taken: 50.3550
step: 740, lr: 0.000929, cost: 0.4279, recon: 0.4279, train_time_taken: 52.4542
step: 760, lr: 0.000928, cost: 0.3531, recon: 0.3531, train_time_taken: 49.8589
step: 780, lr: 0.000926, cost: 0.3938, recon: 0.3938, train_time_taken: 51.3756
step: 800, lr: 0.000924, cost: 0.3968, recon: 0.3968, train_time_taken: 50.9998
step: 820, lr: 0.000922, cost: 0.3646, recon: 0.3646, train_time_taken: 50.9068
step: 840, lr: 0.000920, cost: 0.4349, recon: 0.4349, train_time_taken: 52.4369
step: 860, lr: 0.000918, cost: 0.3942, recon: 0.3942, train_time_taken: 49.8505
step: 880, lr: 0.000917, cost: 0.3940, recon: 0.3940, train_time_taken: 50.5466
step: 900, lr: 0.000915, cost: 0.3795, recon: 0.3795, train_time_taken: 50.8035
step: 920, lr: 0.000913, cost: 0.3747, recon: 0.3747, train_time_taken: 51.4539
step: 940, lr: 0.000911, cost: 0.3389, recon: 0.3389, train_time_taken: 50.0681
step: 960, lr: 0.000909, cost: 0.3504, recon: 0.3504, train_time_taken: 52.1266
step: 980, lr: 0.000908, cost: 0.3330, recon: 0.3330, train_time_taken: 50.4539
step: 1000, lr: 0.000906, cost: 0.3789, recon: 0.3789, train_time_taken: 51.5411
step: 1020, lr: 0.000904, cost: 0.3458, recon: 0.3458, train_time_taken: 51.4981
step: 1040, lr: 0.000902, cost: 0.3634, recon: 0.3634, train_time_taken: 51.5649
step: 1060, lr: 0.000900, cost: 0.3431, recon: 0.3431, train_time_taken: 49.2619
step: 1080, lr: 0.000899, cost: 0.3348, recon: 0.3348, train_time_taken: 50.4710
step: 1100, lr: 0.000897, cost: 0.3345, recon: 0.3345, train_time_taken: 51.3106
step: 1120, lr: 0.000895, cost: 0.3264, recon: 0.3264, train_time_taken: 51.3863
step: 1140, lr: 0.000893, cost: 0.3186, recon: 0.3186, train_time_taken: 50.1039
step: 1160, lr: 0.000892, cost: 0.3509, recon: 0.3509, train_time_taken: 49.5623
step: 1180, lr: 0.000890, cost: 0.3370, recon: 0.3370, train_time_taken: 50.6293
step: 1200, lr: 0.000888, cost: 0.3315, recon: 0.3315, train_time_taken: 51.0575
step: 1220, lr: 0.000886, cost: 0.3394, recon: 0.3394, train_time_taken: 49.2682
step: 1240, lr: 0.000885, cost: 0.2936, recon: 0.2936, train_time_taken: 50.1288
step: 1260, lr: 0.000883, cost: 0.2941, recon: 0.2941, train_time_taken: 51.1124
